ID	Name	Hint
125	Garden	at Varrock city centre.
126	We Are the Fairies	on the cosmic entity plane during Fairy Tale Part II.
127	Nightfall	at the north of Rimmington.
128	Grumpy	at the swamp toad pond in the Feldip Hills.
129	Spooky Jungle	to the south-west of Karamja.
130	Tree Spirits	to the west of the Tree Gnome Stronghold.
131	Understanding	at the Nature Altar.
132	Breeze	at Isafdar near the Underground Pass.
133	The Tower	to the north-west of Ardougne.
134	La Mort	at the Death Altar.
138	Emperor	in Melzar's Maze.
140	Talking Forest	at McGrubor's Wood.
141	Barbarianism	at Barbarian Village.
142	Complication	at the Chaos Altar.
143	Down to Earth	at the Earth Altar.
144	Scape Cave	in Varrock Sewers.
145	Yesteryear	to the east of Lumbridge Swamp.
146	Zealot	at the Water Altar.
147	 	not unlockable!
147		not unlockable!
147	   	not unlockable!
147	 	not unlockable!
147		not unlockable!
147	 	not unlockable!
147	 	automatically.
148	Emotion	in the Tree Gnome Village maze.
149	Principality	at Burthorpe's training ground.
150	Mouse Trap	during Grim Tales.
151	Start	at Draynor Village.
152	Ballad of Enchantment	at the Monastery.
153	Expedition	in the caverns below the Observatory.
154	Bone Dance	to the west of Mort'ton.
155	Neverland	to the south of Tree Gnome Village.
156	Mausoleum	under Paterdomus.
157	Medieval	to the west of the Dig Site.
158	Quest	at the Fire Altar.
159	Gaol	at Gu'Tanoth.
160	Army of Darkness	at the Dark Warrior's Fortress.
161	Long Ago	at Hazelmere's island East of Yanille 
162	Tribal Background	in the south-east Kharazi Jungle.
163	Flute Salad	at the Lumbridge windmill area.
164	Landlubber	to the west of Brimhaven.
165	 	not unlockable!
165	Tribal	to the east of Tai Bwo Wannai Village.
166	Fanfare2	at the Shipyard on Karamja.
167	Fanfare3	at Port Khazard.
168	Lonesome	at the Desert Mining Camp.
169	Crystal Sword	at the Wilderness, north of Varrock.
170	The Shadow	on Crandor.
172	Jungle Island	on Karamja.
172	 	not unlockable!
173	Dunjun	in Taverley Dungeon.
174	 	not unlockable!
174	Desert Voyage	around the Desert Mining Camp.
175	Spirit	at the Cooks' Guild.
176	Undercurrent	in the Wilderness south-west of Daemonheim.
177	Adventure	at Varrock Palace.
178	Courage	at Taverley Dungeon.
179	Underground	at the dramen tree in Entrana Dungeon.
180	Attention	at the coastline below Rimmington.
181	Crystal Cave	at Zanaris market.
182	Dangerous	to the north of Edgeville.
183	Troubled	to the west of the Bandit Camp in the Wilderness.
184	Magical Journey	at the Sorcerer's Tower.
185	Magic Dance	in the east of Yanille.
186	Arrival	at the gem trader in Falador.
187	Tremble	during Death Plateau.
188	In the Manor	at the ogre island, west of Yanille.
189	Land of Snow	in a Christmas holiday event (2007 onwards).
190	Heart and Mind	at the Body Altar.
191	Knightly	at Ardougne Castle.
192	Trinity	at the Legends' Guild.
193	Mellow	at the Fishing Guild.
194	Brimstail's Scales	at Brimstail's cave.
195	 	not unlockable!
196	 	not unlockable!
197	Lament of Meiyerditch	during the Darkness of Hallowvale.
198	Dagannoth Dawn	in Waterbirth Island Dungeon.
199	 	not unlockable!
200	The Mollusc Menace	during Slug Menace.
201	Slug a Bug Ball	during the Slug Menace Quest.
202	Prime Time	during Elemental Workshop II.
203	My Arm's Journey	during My Arm's Big Adventure.
204	Roc and Roll	during My Arm's Big Adventure.
205	High Spirits	in a Halloween holiday event (2006 onwards).
206	Floating Free	during An Enlightened Journey.
207	Scape Hunter	automatically.
208	Jungle Island XMAS	in a Christmas holiday event (2006 onwards).
209	Jungle Bells	in a Christmas holiday event (2006 onwards).
210	Sea Shanty XMAS	in a Christmas holiday event (2006 onwards).
211	Pirates of Penance	during Barbarian Assault.
212	 	not unlockable!
213	Labyrinth	during Contact!
214	Undead Dungeon	in Tarn's Lair.
215	 	not unlockable!
216	Espionage	during Cold War.
217	Have an Ice Day	during Cold War.
218	 	not unlockable!
219	 	not unlockable!
220	Island of the Trolls	during Fremennik Isles.
221	Jester Minute	during Fremennik Isles.
222	Major Miner	during Fremennik Isles.
223	Norse Code	during Fremennik Isles.
224	Ogre the Top	during Fremennik Isles.
225	Volcanic Vikings	during Fremennik Isles.
226	 	not unlockable!
227	 	not unlockable!
228	Garden of Autumn	during Sorceress's Garden.
229	Garden of Spring	during Sorceress's Garden.
230	Garden of Summer	during Sorceress's Garden.
231	Garden of Winter	during Sorceress's Garden.
232	 	not unlockable!
233	 	not unlockable!
234	Creature Cruelty	during Tower of Life.
235	Magic Magic Magic	during Tower of Life.
236	Mutant Medley	during Tower of Life.
237	Work Work Work	during Tower of Life.
238	Zombiism	during The Great Brain Robbery.
239	Brain Battle	on completion of The Great Brain Robbery.
240	Dorgeshuun City	at Dorgesh-Kaan.
241	 	not unlockable!
241	Stagnant	at the Hollows in the Mort Myre Swamp.
242	Time Out	during the Maze random event.
243	Stratosphere	at the Cosmic Altar.
244	Waterlogged	to the south of Canifis.
245	Natural	at the nature spirit's island in Mort Myre Swamp.
246	Grotto	at the nature spirit's grotto in Mort Myre Swamp.
247	Artistry	during the Mime random event.
248	Aztec	at the Brimhaven Agility Arena.
249	Dorgeshuun Deep	at the Dorgesh-Kaan caves.
250	Surok's Theme	on completion of What Lies Below.
251	Forest	to the south-east of Isafdar.
252	Elven Mist	at the exit of the Underground Pass.
253	Lost Soul	at the Poison Waste in south Isafdar.
254	Meridian	at the area around Tyras Camp in Isafdar.
255	Woodland	at the Elf Camp in Tirannwn.
256	Overpass	at Arandar, east of Tirannwn.
257	Sojourn	at the troll champion arena.
258	Contest	in Trollheim.
259	Crystal Castle	to the south-east of Prifddinas.
260	Insect Queen	at the Kalphite Queen.
260	 	not unlockable!
261	Marzipan	at the Trollheim cave.
262	Righteousness	at the Law Altar.
263	Bandit Camp	at the Bandit Camp in the Kharidian Desert.
264	Mad Eadgar	at Eadgar's cave atop Trollheim.
265	Superstition	at the cave below the Kharazi Jungle.
266	Bone Dry	in the smoky well near Pollnivneach.
267	Sunburn	in the desert north of Jaldraocht Pyramid.
268	Everywhere	to the south-west of Prifddinas.
269	Competition	not unlockable!
269	Competition	at Burthorpe Games Room.
270	Exposed	to the south of Tyras Camp in Isafdar.
271	Well of Voyage	in the passage between Iban's Temple and Isafdar.
272	Alternative Root	during What Lies Below.
273	Easter Jig	in an Easter holiday event (2007 onwards).
274	Rising Damp	during Olaf's Quest.
275	Slice of Station	during Another Slice of H.A.M..
276	Ham and Seek	during Another Slice of H.A.M..
277	Haunted Mine	at the boss area of the Haunted Mine.
278	Deep Down	on the bottom floor of the Haunted Mine.
279	Ham Attack	during Another Slice of H.A.M..
281	Slice of Silent Movie	during Another Slice of H.A.M..
282	Chamber	on the middle floor of the Haunted Mine.
283	Everlasting	during Dream Mentor.
284	Miscellania	on Miscellania.
285	Etcetera	on Etceteria.
286	Shadowland	to the east of Mort'ton.
287	Lair	at the shade catacombs below Mort'ton.
288	 	not unlockable!
288	Deadlands	at the Haunted Woods of Morytania.
289	Rellekka	at Rellekka.
290	Saga	to the south of Rellekka.
291	Borderland	to the east of Rellekka.
292	Stranded	at the gate to the Ice Path, north of Trollheim.
293	Legend	to the south-east of Rellekka.
294	Frostbite	at the Ice Path north of Trollheim.
295	Warrior	during Fremennik Trials.
296	Technology	at the gnome glider hangar.
297	 	not unlockable!
298	Illusive	during Dream Mentor.
299	Inadequacy	during Dream Mentor.
300	Untouchable	during Dream Mentor.
301	Down and Out	during Dream Mentor.
302	On the Up	during Dream Mentor.
303	Monkey Madness	on Ape Atoll.
304	Marooned	on Crash Island during Monkey Madness.
305	Anywhere	at Marim's main gate.
306	Island Life	at the southern part of Ape Atoll.
307	Temple	on Ape Atoll.
308	Suspicious	during Monkey Madness.
309	Looking Back	at Varrock Museum.
310	Dwarf Theme	at the Dwarven Mine.
311	Showdown	during the boss fight in Monkey Madness.
312	Find My Way	at the gnome tunnel in Monkey Madness.
313	Goblin Village	at Goblin Village.
314	Castle Wars	not unlockable!
314	Castle Wars	during Castle Wars, fighting for Saradomin.
315	 	not unlockable!
316	The Navigator	during Fremennik Trials.
317	Melodrama	during Castle Wars.
318	Ready for Battle	during Castle Wars.
319	Stillness	at the Myreque area under Mort Myre.
320	Lighthouse	at the Lighthouse.
321	Scape Scared	automatically.
322	Out of the Deep	at the dagannoth cave under the Lighthouse.
323	Underground Pass	during Underground Pass.
324	Background	on Entrana.
325	Cave Background	at the Dwarven Mine or the Gamers' Grotto.
326	Dark	in the south-east of the Wilderness.
327	Dream	on the path between Lumbridge and Draynor.
328	March	at King Lathas's Combat Training Camp.
329	Regal	at the Rogues' Castle.
330	Cellar Song	at the bank vault west of Varrock.
331	Scape Sad	at the Demonic Ruins in the Wilderness.
332	Scape Wild	in the Wilderness.
332	 	not unlockable!
333	Spooky	at Draynor Manor.
334	Pirates of Peril	at the Pirates' Hideout in the Wilderness.
335	Romancing the Crone	during the Troll Romance quest.
336	Dangerous Road	at the caves below Crandor.
337	Faithless	at the Chaos Temple in the Wilderness.
338	Tiptoe	at Draynor Manor's cellar.
339	The Terrible Tower	at the Slayer Tower.
340	Masquerade	on the west side of the Fremennik Slayer Dungeon.
341	The Slayer	on the east side of the Fremennik Slayer Dungeon.
342	Body Parts	at the dungeon south-east of Fenkenstrain's Castle.
343	Monster Melee	at the H.A.M. cave.
344	Fenkenstrain's Refrain	at Fenkenstrain's Castle.
345	Barking Mad	at the Werewolf Agility Course.
346	Goblin Game	at the goblin cave near the Fishing Guild.
347	Fruits de Mer	at the Fishing Platform.
347	 	not unlockable!
348	Narnode's Theme	beneath the Grand Tree.
349	Impetuous	during Impetuous Impulses.
350	 	not unlockable!
351	Dynasty	at the town of Pollnivneach.
352	Scarab	at Jaldraocht, the pyramid visited in Desert Treasure.
353	Shipwrecked	at the shipwreck on the north coast of Morytania.
354	Phasmatys	at the pool of ectoplasm underneath the Ectofuntus.
355	The Other Side	at Port Phasmatys.
356	Settlement	at the Mountain Camp.
357	Cave of Beasts	during Mountain Daughter.
358	Dragontooth Island	on Dragontooth Island.
359	Sarcophagus	inside Jaldraocht, the pyramid visited in Desert Treasure.
360	 	not unlockable!
361	Down Below	at the dungeon below Draynor Village.
362	Karamja Jam	at the dragon area of Brimhaven Dungeon.
363	7th Realm	at Brimhaven Dungeon.
364	Pathways	at Brimhaven Dungeon's entrance.
365	Melzar's Maze	during Dragon Slayer.
366	Eagle Peak	during Eagles' Peak.
367	Barb Wire	while learning barbarian skills.
368	 	not unlockable!
369	Time to Mine	during Between a Rock...
370	In Between	during Between a Rock...
371	School's Out	during the Pattern Recognition random event.
372	Far Away	at Lletya.
372	Far Away	not unlockable!
373	Claustrophobia	during Between a Rock...
374	Knightmare	at the Black Knights' Fortress.
375	Fight or Flight	at the slave mine under West Ardougne.
376	Temple of Light	during Mourning's Ends Part II.
377	The Golem	at the Ruins of Uzer.
378	Forgotten	during the Golem.
379	Throne of the Demon	during Shadow of the Storm.
380	Dance of the Undead	at the Barrows.
381	Dangerous Way	beneath the Barrows.
382	Lore and Order	during King's Ransom.
383	City of the Dead	to the north of (and at) Menaphos.
384	Hypnotized	during Icthlarin's Little Helper.
385	 	not unlockable!
386	Bandos Battalion	in the God Wars Dungeon.
387	Sphinx	to the north of Sophanem.
388	Mirage	during Icthlarin's Little Helper.
389	Cave of the Goblins	at the caves beneath Lumbridge Swamp.
390	Romper Chomper	at the ogre area south of Castle Wars.
391	Zamorak Zoo	in the God Wars Dungeon.
392	Zogre Dance	at the zogre area.
393	Path of Peril	in Damis's Shadow Dungeon.
394	Wayward	at the zogre Dungeon.
395	Tale of Keldagrim	on the east side of Keldagrim.
396	Land of the Dwarves	on the west side of Keldagrim.
397	Tears of Guthix	during Tears of Guthix.
398	The Power of Tears	during the Tears of Guthix quest.
399	Armageddon	in the God Wars Dungeon.
400	Scape Original	automatically.
401	The Adventurer	automatically.
402	The Rogues' Den	at the Rogues' Den.
403	The Far Side	at the Rogues' Den training area.
404	Armadyl Alliance	in the God Wars Dungeon.
405	 	not unlockable!
406	 	not unlockable!
407	The Lost Melody	at the Dorgesh-Kaan mine.
408	Strength of Saradomin	in the God Wars Dungeon.
409	Frogland	during the Frog random event.
410	 	not unlockable!
411	Evil Bob's Island	during the Evil Bob random event.
412	Into the Abyss	in abyssal space.
413	The Quiz Master	during the Quiz Master random event.
414	The Longramble Scramble	during Path of Glouphrie.
416	Healin' Feelin'	during Path of Glouphrie.
417	Terrorbird Tussle	during Path of Glouphrie.
418	Corporal Punishment	during the Drill Demon random event.
419	Pheasant Peasant	during the Freaky Forester random event.
420	The Lost Tribe	at the goblin mines under Lumbridge.
421	Storeroom Shuffle	during Path of Glouphrie.
422	 	not unlockable!
423	 	not unlockable!
424	 	not unlockable!
425	The Chosen	during Recruitment Drive.
426	Waste Defaced	during Path of Glouphrie.
427	Bolrie's Diary	during Path of Glouphrie.
428	Altar Ego	at Ourania Altar.
429	Roots and Flutes	during Back to my Roots.
430	 	not unlockable!
431	 	not unlockable!
432	Grimly Fiendish	in a Halloween holiday event (2007 onwards).
433	Dusk in Yu'biusk	during Land of the Goblins.
434	Have a Blast	during Blast Furnace.
435	Wilderness	in the Wilderness.
436	Forgettable Melody	during Forgettable Tale...
437	Zanik's Theme	during Land of the Goblins.
439	Catacombs and Tombs	during Land of the Goblins.
440	Temple of Tribes	during Land of the Goblins.
441	Tournament!	automatically.
442	Clan Wars	during Clan Wars.
443	Bounty Hunter Level 2	automatically.
444	Bounty Hunter Level 1	automatically.
445	Bounty Hunter Level 3	automatically.
446	 	not unlockable!
447	Over To Nardah	at Nardah.
448	The Monsters Below	in Waterbirth Island Dungeon.
449	Wild Isle	to the south of Red Dragon Isle in the Wilderness.
450	Venomous	at the Scorpion Pit in the Wilderness.
451	Tune from the Dune	during Dealing with Scabaras.
452	Copris Lunaris	during Dealing with Scabaras.
453	Jungle Hunt	at the Feldip Hunter area.
454	Home Sweet Home	at your player-owned house.
455	Scarabaeoidea	during Dealing with Scabaras.
456	Animal Apogee	during Wolf Whistle.
457	Scape Summon	automatically.
458	 	not unlockable!
459	The Route of All Evil	in the Chaos Tunnels.
460	Joy of the Hunt	at the Feldip Hunter area cave.
461	The Desolate Isle	on Waterbirth Island.
462	Spirits of Elid	during the Spirits of Elid.
463	Fire and Brimstone	in the TzHaar Fight Pits.
464	The Genie	at the genie's cave west of Nardah.
465	Desert Heat	in the desert north of Nardah.
466	Ground Scape	automatically.
467	The Route of the Problem	in the Chaos Tunnels.
468	Shaping Up	during As a First Resort...
469	In the Pits	in TzHaar.
470	Strange Place	during A Tail of Two Cats.
471	Brew Hoo Hoo	at Port Phasmatys brewery.
472	Spa Bizarre	during As a First Resort...
473	TzHaar!	in the TzHaar Fight Caves.
474	Bish Bash Bosh	during As a First Resort...
475	Wild Side	to the north of the Lava Maze in the Wilderness.
476	Dead Can Dance	in the Graveyard of Shadows in the Wilderness.
477	Hot 'n' Bothered	during As a First Resort...
478	The Cellar Dwellers	during the Hazeel Cult.
479	Jungle Troubles	in the jungle of north-east Karamja.
480	 	not unlockable!
481	Catch Me If You Can	at the Ardougne Rat Pits.
482	Rat a Tat Tat	at the Varrock Rat Pits.
483	Jungle Community	to the north of Tai Bwo Wannai Village.
484	 	not unlockable!
485	The Noble Rodent	during Rat Catchers.
487	Charmin' Farmin'	during Vinesweeper.
488	The Wrong Path	in the Chaos Tunnels.
489	Bubble and Squeak	at the Keldagrim Rat Pits.
490	Sarim's Vermin	at Port Sarim Rat Pits.
491	Rat Hunt	during Rat Catchers.
492	Exam Conditions	at the Stronghold of Player Safety.
493	Safety in Numbers	at the Stronghold of Player Safety.
494	Incarceration	at the Stronghold of Player Safety.
495	 	not unlockable!
496	The Trade Parade	at the Grand Exchange.
497	Aye Car Rum Ba	on Braindeath Island.
498	Blistering Barnacles	on Braindeath Island's mountain.
499	Creepy	during Kennith's Concerns.
500	A New Menace	during Kennith's Concerns.
501	Distant Land	at Burgh de Rott.
501	Distant Land	not unlockable!
502	Bittersweet Bunny	in an Easter holiday event (2008 onwards).
503	Waiting for the Hunt	in the Fist of Guthix waiting room.
504	Fangs for the Memory	during In Aid of the Myreque.
505	Pharaoh's Tomb	at the Agility Pyramid.
506	Land Down Under	during Royal Trouble.
507	Guthix's Hunter	during Fist of Guthix.
508	Meddling Kids	during Royal Trouble.
509	Corridors of Power	during Royal Trouble.
510	Slither and Thither	at the sea snake cave in Royal Trouble.
511	In the Clink	during the Prison Pete random event.
512	Bloodbath	at the Blood Altar.
513	Conspiracy: Part 1	during Legacy of Seergaze.
514	The Columbarium	during Legacy of Seergaze.
515	Mudskipper Melody	at Mudskipper Point.
516	Conspiracy: Part 2	during Legacy of Seergaze.
517	Subterranea	in Waterbirth Island Dungeon.
518	The Terrible Tunnels	during Legacy of Seergaze.
519	Incantation	during Shadow of the Storm.
520	Grip of the Talon	during Shadow of the Storm.
521	The Terrible Caverns	during Legacy of Seergaze.
522	Icy a Worried Gnome	during the Perils of Ice Mountain.
523	Icy Trouble Ahead	during the Perils of Ice Mountain.
524	Xenophobe	in Waterbirth Island Dungeon.
525	Title Fight	at the Champion's Challenge underground area.
526	Arma Gonna Get You	during TokTz-Ket-Dill.
527	Dillo-gence is Key	during TokTz-Ket-Dill.
528	Victory is Mine	at the Champion's Challenge arena.
529	 	not unlockable!
529	Woe of the Wyvern	at the Asgarnian Ice Dungeon's wyvern area.
530	In the Brine	at The Other Inn on Mos Le'Harmless.
531	TokTz-Ket-Ek-Mack	during TokTz-Ket-Dill.
532	Diango's Little Helpers	at Diango's Christmas workshop.
533	Roll the Bones	at the Mage Training Arena's Creature Graveyard.
534	Mind Over Matter	at the Mage Training Arena's Telekinetic Theatre.
535	Golden Touch	at the Mage Training Arena's Alchemists' Playground.
536	Cool for Ali Cats	during Smoking Kills.
537	Dogs of War	at the Vault of War in the Stronghold of Security.
539	Under the Sand	during Smoking Kills.
540	Desert Smoke	during Smoking Kills.
541	The Enchanter	at the Mage Training Arena's Enchanting Chamber.
542	Lament	during Enakhra's Lament.
543	Slain to Waste	during Smoking Kills.
544	Making Waves	during Swan Song.
545	Cabin Fever	during Cabin Fever.
546	Last Stand	during Swan Song.
547	Scape Santa	automatically.
548	Poles Apart	at the Trollweiss and Rellekka Hunter area.
548	 	not unlockable!
548	Poles Apart	not unlockable!
549	Jailbird	during Rocking Out.
550	Something Fishy	during Rocking Out.
551	A Pirate's Life for Me	during Rocking Out.
552	The Mentor	automatically.
553	Shining Spirit	during Spirit of Summer.
554	Troubled Spirit	during Spirit of Summer.
555	Ardougne Ago	during Meeting History.
556	Sarah's Lullaby	not unlockable!
557	Historic Memories	not unlockable!
558	Food for Thought	at the Catacomb of Famine in the Stronghold of Security.
559	Malady	at the Pit of Pestilence in the Stronghold of Security.
560	Dance of Death	at the Sepulchre of Death in the Stronghold of Security.
561	Second Vision	at the Runecrafting Guild.
562	Circus	during the Circus.
563	The Vacant Abyss	during Summer's End.
564	Bane of Summer	during Summer's End.
565	Wrath and Ruin	at the anger room of Tolna's rift.
566	Zombie Invasion	during Defender of Varrock.
567	Dream Theatre	during Defender of Varrock.
568	Storm Brew	at the killerwatt plane.
569	Undead Army	during Defender of Varrock.
570	The Ruins of Camdozaal	during Defender of Varrock.
571	The Art of Hocus-Pocus	in a Halloween holiday event (2008 onwards).
572	Magic and Mystery	during the Swept Away Quest.
573	The Mad Mole	at Falador Mole Lair.
573	 	not unlockable!
574	 	not unlockable!
575	Chickened Out	at the Evil Chicken's lair.
576	Davy Jones's Locker	during Recipe for Disaster.
577	Mastermindless	during Recipe for Disaster.
578	Stealing Creation	during Stealing Creation.
579	Dangerous Logic	during the While Guthix Sleeps Quest.
580	 	not unlockable!
581	The Evil Within	during the While Guthix Sleeps Quest.
582	Metalwork	in the Artisan Workshop in Falador.
583	Chef Surprize	during Recipe for Disaster.
584	Temple Desecrated	during the While Guthix Sleeps Quest.
585	Black of Knight	during the While Guthix Sleeps Quest.
586	Everlasting Fire	in the north-east corner of the Wilderness.
587	Null and Void	at the Pest Control landing area.
588	Pest Control	not unlockable!
588	Pest Control	during Pest Control.
589	The Sound of Guthix	during the While Guthix Sleeps Quest.
590	 	not unlockable!
591	Tomb Raider	during Pyramid Plunder.
592	Winter Funfare	during Myths of the White Lands.
593	The Dance of the Snow Queen	in a Christmas holiday event (2008 onwards).
594	No Way Out	at the hopelessness room of Tolna's rift area.
595	Cavernous Mythology	during Myths of the White Lands.
596	The Phoenix	during the In Pyre Need quest.
597	The Waiting Game	during Soul Wars.
598	Soul Wars	during Soul Wars.
599	Snack Attack	during the Sandwich Lady Random Event.
600	Method of Madness	at the confusion room of Tolna's rift area.
601	Trees Aren't Your Friends	during Evil Tree.
602	Fear and Loathing	at the fear room of Tolna's rift area.
603	Funny Bunnies	in an Easter holiday event (2006 onwards).
604	Assault and Battery	during Barbarian Assault.
605	Demise of the Dorgeshuun	during The Chosen Commander.
606	The Depths	during Contact!
607		not unlockable!
608	But We Can Fight	during The Chosen Commander.
609	Godslayer	during The Chosen Commander.
610	Distillery Hilarity	at Trouble Brewing's distillery.
611	Trouble Brewing	during Trouble Brewing.
612	Head to Head	during the Evil Twin random event.
613	Face Off	during The Chosen Commander.
614	Pinball Wizard	during the Pinball random event.
615	Beetle Juice	during Contact!
616	Back to Life	during Contact!
617	The Chosen Commander	during The Chosen Commander.
618	The Throne of Bandos	during The Chosen Commander.
620	Where Eagles Lair	during Eagles' Peak.
621	Homescape	automatically.
622	Waking Dream	during your dream in Lunar Diplomacy.
623	Dreamstate	during your dream in Lunar Diplomacy.
624	Don't Panic Zanik	during The Chosen Commander.
625	The Lunar Isle	at Lunar Isle.
626	Way of the Enchanter	in the dungeon beneath Lunar Isle.
627	Isle of Everywhere	on the east coast of Lunar Isle.
628	Glorious Recallation...	not unlockable!
629	Glorious Recallation...	not unlockable!
630	The Galleon	during Lunar Diplomacy.
631	Life's a Beach!	at the coastal area of Mos Le'Harmless.
632	Little Cave of Horrors	in the cave horror dungeon beneath Mos Le'Harmless.
633	On the Wing	at the Falconer Area, north-east of Eagles' Peak.
634	Warriors' Guild	at the Warriors' Guild.
635	The Adventurers Re-United!	not unlockable!
636	Nial's Widow	not unlockable!
637	Glorious Recallation...	not unlockable!
638	H.A.M. Fisted	during Death to the Dorgeshuun.
639	Frost Fight	during Glorious Memories.
640	Sigmund's Showdown	during Death to the Dorgeshuun.
641	Lair of Kang Admi	during Glorious Memories.
642	Lazy Wabbit	in an Easter holiday event (2009 onwards).
643	The Last Shanty	during the Darkness of Hallowvale.
